vidId,vidTitle,vidUrl,viewCount,likeCount,chanName,chanUrl,subsCount,vidCount,category
vWK7Ai17-R8,Plastic Beach: Griya Luhu Waste Bank | Daihatsu Sahabat Laut Episode 7,https://www.youtube.com/watch?v=vWK7Ai17-R8,382730,32,Daihatsu Sahabatku,https://www.youtube.com/channel/UC7pNPpZFSpA2eF8svHHKlRw,259000,718,2
tPfH84GksZA,Melly Goeslaw Buka-Bukaan Tentang Kehidupannya Selama Ini - Sahabat Talks,https://www.youtube.com/watch?v=tPfH84GksZA,510180,11,Daihatsu Sahabatku,https://www.youtube.com/channel/UC7pNPpZFSpA2eF8svHHKlRw,259000,718,2
0ivhRX-4lPM,Save The Turtle: Taman Nasional Meru Betiri | Daihatsu Sahabat Laut Episode 1,https://www.youtube.com/watch?v=0ivhRX-4lPM,382523,126,Daihatsu Sahabatku,https://www.youtube.com/channel/UC7pNPpZFSpA2eF8svHHKlRw,259000,718,2
OtlkoSEKWEs,"With OLX Autos, selling a car is now stress-free! Watch how Namrata sold her car for the best price.",https://www.youtube.com/watch?v=OtlkoSEKWEs,1031009,11,OLX Autos India,https://www.youtube.com/channel/UCyU03JIEHxmKjpTyB7bAmoA,169000,163,2
6HNXIXIyZvI,The All-New Nissan Leaf. 100% Electric. Zero Emission,https://www.youtube.com/watch?v=6HNXIXIyZvI,4655505,16,Nissan Indonesia,https://www.youtube.com/channel/UCXxKkjYfqvSUNoSkzqV5TRw,71600,208,2
4iJyE218CL0,Uber Eats ファミレス  | Uber Eats,https://www.youtube.com/watch?v=4iJyE218CL0,6160,2,Uber Eats,https://www.youtube.com/channel/UC1xnncYc7586km_rIYQLtLQ,272000,738,2
786tbVCXp2s,2022 HUMMER EV: Super Cruise | How Things Work,https://www.youtube.com/watch?v=786tbVCXp2s,11803,571,GMC HUMMER EV,https://www.youtube.com/channel/UCLQEPS_bpAgLYD8lcPbe7dA,2190,43,2
BNe7wwEXWik,Zooming In: energy management – TAG Heuer Porsche Formula E team,https://www.youtube.com/watch?v=BNe7wwEXWik,1913158,13045,Porsche,https://www.youtube.com/channel/UC_BaxRhNREI_V0DVXjXDALA,1190000,2547,2
onf4PoRmsnQ,In memoriam: Mirko Rašić,https://www.youtube.com/watch?v=onf4PoRmsnQ,104964,7184,Emisija SAT - Zvanični kanal,https://www.youtube.com/channel/UCssGPQlc3jCMJsJ5HEEJn5A,95000,1039,2
PuPoLg8hUhM,Franna Crane Project | Part 1 | Boom Lift Cylinder Rebuild,https://www.youtube.com/watch?v=PuPoLg8hUhM,46287,7174,Cutting Edge Engineering Australia,https://www.youtube.com/channel/UC2wdo5vU7bPBNzyC2nnwmNQ,560000,175,2
K5ttx7mRyD8,T&#39;AS 5 MINUTES : HONDA INTEGRA TYPE R,https://www.youtube.com/watch?v=K5ttx7mRyD8,36527,3702,GDB,https://www.youtube.com/channel/UCxWEtSo-Egz22h8kU0lz8Qw,241000,373,2
E3hhPtW3z90,MODIF MOTOR AKANG MV KAWE KASIH KNALPOT BARU BIAR GAK NNGANTUK LAGI- AJARIN NGEVLOG,https://www.youtube.com/watch?v=E3hhPtW3z90,10986,901,ANR Rider,https://www.youtube.com/channel/UCWzkM7tDEGqXZfJ9klJwiPQ,412000,755,2
HOX0sbZ6GlY,PLATINA 110ABS REVIEW🚀ಸೈಕಲ್ ಓಡ್ಸೋ ಫೀಲ್ ಗುರು‼️#bajaj,https://www.youtube.com/watch?v=HOX0sbZ6GlY,25508,4685,ಟಿಪಿಕಲ್ ಕನ್ನಡಿಗ,https://www.youtube.com/channel/UCLr1s9zKvByfxUTGk0egUug,116000,148,2
UjVz_uAvCs0,CHOROU LEMBRANDO DO SONHO REALIZADO 🥺 S3 ta MUITO FORTE,https://www.youtube.com/watch?v=UjVz_uAvCs0,47285,9932,Diego Faustino #68,https://www.youtube.com/channel/UCbHd-DBdyWNVJMXsDHuwB2Q,1310000,2478,2
d5PMvfiZYA4,EL E36 DE DRIFT ESTÁ LISTO ¿TERMINADO? | Kenyi Nakamura,https://www.youtube.com/watch?v=d5PMvfiZYA4,59426,8135,Kenyi Nakamura,https://www.youtube.com/channel/UCFnVL9Jyr9oYTrOwaWIKomQ,502000,94,2
Kdp-ll_UuPE,LA SPONSO QUI CRASH (littéralement) - La folle histoire des Diamants de Jaguar au GP de Monaco 2004,https://www.youtube.com/watch?v=Kdp-ll_UuPE,46002,3457,Depielo,https://www.youtube.com/channel/UCV4G8eTI0qxMbveC0rL3nkA,333000,1346,2
